ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
298599525;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.25;11/16;5657730;;https://www.cian.ru/sale/flat/298599525
298599506;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.25;10/16;5657730;;https://www.cian.ru/sale/flat/298599506
287276303;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с7/2;34.3;6/9;5685750;;https://www.cian.ru/sale/flat/287276303
287276863;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с10/1;34.9;4/9;5652950;;https://www.cian.ru/sale/flat/287276863
298600764;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;40.32;4/16;5687640;;https://www.cian.ru/sale/flat/298600764
287276319;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с7/2;34.3;8/9;5685750;;https://www.cian.ru/sale/flat/287276319
287276585;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с9/2;34.3;9/9;5685750;;https://www.cian.ru/sale/flat/287276585
298599512;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.32;10/16;5651930;;https://www.cian.ru/sale/flat/298599512
298599495;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.6;9/16;5694210;;https://www.cian.ru/sale/flat/298599495
298599482;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.6;8/16;5694210;;https://www.cian.ru/sale/flat/298599482
298599474;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.6;7/16;5694210;;https://www.cian.ru/sale/flat/298599474
298599461;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;39.6;6/16;5694210;;https://www.cian.ru/sale/flat/298599461
287276296;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с7/2;34.3;5/9;5685750;;https://www.cian.ru/sale/flat/287276296
298600563;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.95;13/16;5670940;;https://www.cian.ru/sale/flat/298600563
298599547;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;40.03;12/16;5682860;;https://www.cian.ru/sale/flat/298599547
296464628;1;Продажа квартиры в новостройке;Ленинский;Иркутская область, Иркутск, Пулковский переулок, 28;30.76;8/15;3900000;;https://www.cian.ru/sale/flat/296464628
296464687;2;Продажа квартиры в новостройке;Ленинский;Иркутская область, Иркутск, Пулковский переулок, 28;42.53;1/15;4950000;;https://www.cian.ru/sale/flat/296464687
299543045;1;Продажа квартиры;Ленинский;Иркутская область, Иркутск, улица Розы Люксембург, 118/5;32.0;14/16;3400000;Косметический;https://www.cian.ru/sale/flat/299543045
299540536;1;Продажа квартиры;Ленинский;Иркутская область, Иркутск, улица Баумана, 257;33.5;17/17;3900000;Косметический;https://www.cian.ru/sale/flat/299540536
299506050;1;Продажа квартиры в новостройке;Ленинский;Иркутская область, Иркутск, Иркутск-2 мкр, Зенит ЖК;35.56;4/13;5100000;;https://www.cian.ru/sale/flat/299506050
299872831;;Продажа квартиры в новостройке;Ленинский;Иркутская область, Иркутск, улица Мира, 32;37.32;4/13;5350000;;https://www.cian.ru/sale/flat/299872831
297107026;3;Продажа квартиры;Ленинский;Иркутская область, Иркутск, улица Чекалина, 16;60.3;3/5;6500000;Евроремонт;https://www.cian.ru/sale/flat/297107026
296464619;3;Продажа квартиры в новостройке;Ленинский;Иркутская область, Иркутск, Пулковский переулок, 28;56.62;1/15;7000000;;https://www.cian.ru/sale/flat/296464619
